,title,place,term,term_start,term_end,time,emp_rate,link,adr,lat,lng
0,영상제작A,서울방송아카데미학원,21/05/31~21/10/20,210531,211020,100일  총600시간,73.1,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000291841&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020044176#undefined,서울특별시 마포구 노고산동 서강로 122,37.5532723,126.9344652
1,지게차운전기능사 취득,김천동성직업전문학원,21/05/31~21/07/02,210531,210702,25일  총100시간,60,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000312397&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020028412#undefined,경북 김천시 남면 초곡리 757-1,36.1359521,128.1818381
2,A요양보호사자격취득,(주)북부산요양보호사교육원,21/05/31~21/07/24,210531,210724,36일  총240시간,53.1,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000311680&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020046219#undefined,부산광역시 주례 역 7번출구 260 CU편의점 3층 KR 부산광역시 사상구 가야대로,35.149998,129.0010785
4,요양보호사 자격 취득과정,병점길요양보호사교육원,21/05/31~21/07/09,210531,210709,30일  총240시간,63.6,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000309038&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500035549377#undefined,화성시 병점1동 KR 경기 화성시 병점동 382-2,37.2069707,127.0342691
5,컴퓨터활용능력1급(컴활1급 필기+실기)자격증 취득,그린컴퓨터아트학원,21/05/31~21/07/15,210531,210715,34일  총136시간,58.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000307051&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020011522#undefined,대구광역시 중구 남일동 109-2,35.8683476,128.5940482
6,병원코디네이터&상담실장 전문가양성과정 [NCS기반],한국종합교육원,21/05/31~21/07/01,210531,210701,24일  총120시간,68.1,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000306626&tracseTme=1&crseTracseSe='C006&trainstCstmrId='50003425485#undefined,서울특별시 강남구 삼성동 254 4 보성럭스타운빌딩 2층,37.5172363,127.0473248
8,꽃집 창업 및 플로리스트 실무 양성과정,안정플로리스트종합예술학원,21/05/31~21/07/09,210531,210709,30일  총150시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000304842&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020018489#undefined,서울특별시 서초구 방배1동 905-3,37.4847584,126.9958402
9,요양보호사 자격 취득과정,광주사랑요양보호사교육원,21/05/31~21/07/09,210531,210709,30일  총240시간,66.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000303867&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020043225#undefined,광주광역시 서구 쌍촌동 948-3,35.151823,126.8692775
10,미용사(네일)자격증 취득과정,엔비뷰티아카데미,21/05/31~21/08/12,210531,210812,54일  총270시간,54.5,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000303672&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500033123204#undefined,경기도 용인시 기흥구 구갈동 595-2,37.2704081,127.1269594
11,미용사(피부)자격증,일산에르모소직업전문학교,21/05/31~21/08/27,210531,210827,60일  총240시간,65.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000302894&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020017511#undefined,경기도 고양시 덕양구 화정동 969 KR,37.6351555,126.8313903
12,네일아트&드릴실무반,로드네일미용학원,21/05/31~21/07/09,210531,210709,30일  총120시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000302340&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020019195#undefined,부산광역시 부전동 가야대로 부산진구 775,35.1579107,129.0563486
13,컴퓨터활용능력2급+ITQ(한글/엑셀/파포)자격취득,엘리트컴퓨터아카데미,21/05/31~21/07/12,210531,210712,30일  총140시간,47.4,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000302215&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020038296#undefined,울산광역시 무거동 무거동 620-3번지 2층 남구 울산광역시 KR,35.5421604,129.2597047
